url,filename,name,price,description,rating,category
https://m.media-amazon.com/images/I/31DtlkX5DaL._AC_UY218_.jpg,14_3.jpg,"(Refurbished) REDMI 10 Prime 2022 (Phantom Black, 4GB RAM, 64GB Storage)","7,980","(Refurbished) REDMI 10 Prime 2022 (Phantom Black, 4GB RAM, 64GB Storage)",5.0 out of 5 stars,moble
https://m.media-amazon.com/images/I/51ejxGjZG9L._AC_UY218_.jpg,14_4.jpg,"Motorola MOTO g22 (Iceberg Blue, 64 GB) (4 GB RAM)",,"Motorola MOTO g22 (Iceberg Blue, 64 GB) (4 GB RAM)",3.5 out of 5 stars,moble
https://m.media-amazon.com/images/I/71n3XdvUQoL._AC_UY218_.jpg,14_5.jpg,(Refurbished) Lava A1 Josh 21-Dual Sim |Call Blink Notfication |auto Call recoding,844.,(Refurbished) Lava A1 Josh 21-Dual Sim |Call Blink Notfication |auto Call recoding,3.8 out of 5 stars,moble
https://m.media-amazon.com/images/I/51uvPGsEngL._AC_UY218_.jpg,14_7.jpg,"(Refurbished) MI Poco M2 (Slate Blue, 6GB RAM, 64GB Storage)","7,990","(Refurbished) MI Poco M2 (Slate Blue, 6GB RAM, 64GB Storage)",3.1 out of 5 stars,moble
https://m.media-amazon.com/images/I/41+r5uIAAAL._AC_UY218_.jpg,14_8.jpg,"realme C25Y (Metal Grey, 4GB RAM, 64GB Storage)","8,145","realme C25Y (Metal Grey, 4GB RAM, 64GB Storage)",4.0 out of 5 stars,moble
https://m.media-amazon.com/images/I/41b3wZQaEGS._AC_UY218_.jpg,14_9.jpg,"(Refurbished) realme Narzo 30 (Racing Blue, 6GB RAM, 128GB Storage) Without Offers","9,999","(Refurbished) realme Narzo 30 (Racing Blue, 6GB RAM, 128GB Storage) Without Offers",3.4 out of 5 stars,moble
https://m.media-amazon.com/images/I/81ryhJEBf1L._AC_UY218_.jpg,14_10.jpg,"(Refurbished) SAMSUNG Galaxy F13 (Waterfall Blue, 4GB RAM 64GB Storage)","8,499","(Refurbished) SAMSUNG Galaxy F13 (Waterfall Blue, 4GB RAM 64GB Storage)",3.5 out of 5 stars,moble
https://m.media-amazon.com/images/I/51-teThrFhL._AC_UY218_.jpg,14_11.jpg,"realme C30s (Stripe Blue, 2GB RAM, 32GB Storage)","7,899","realme C30s (Stripe Blue, 2GB RAM, 32GB Storage)",3.6 out of 5 stars,moble
https://m.media-amazon.com/images/I/51RZFqTvlhL._AC_UY218_.jpg,14_12.jpg,"Lava Yuva3 Pro (Forest Viridian, 8GB RAM, UFS 2.2 128GB Storage) |AG Glass Back|T616 Octacore Processor|18W fast charging|6.5 inch 90Hz Punch Hole Display|50MP AI Dual Camera|Upto 16GB expandable RAM",,"Lava Yuva3 Pro (Forest Viridian, 8GB RAM, UFS 2.2 128GB Storage) |AG Glass Back|T616 Octacore Processor|18W fast charging|6.5 inch 90Hz Punch Hole Display|50MP AI Dual Camera|Upto 16GB expandable RAM",3.8 out of 5 stars,moble
https://m.media-amazon.com/images/I/610MchWXxdS._AC_UY218_.jpg,14_13.jpg,"(Refurbished) Redmi Note 10 (Aqua Green, 4GB RAM, 64GB Storage) - Amoled Dot Display | 48MP IMX582 Sensor | Snapdragon 678 Processor","8,199","(Refurbished) Redmi Note 10 (Aqua Green, 4GB RAM, 64GB Storage) - Amoled Dot Display | 48MP IMX582 Sensor | Snapdragon 678 Processor",2.9 out of 5 stars,moble
https://m.media-amazon.com/images/I/51dGqSFNrDL._AC_UY218_.jpg,14_14.jpg,"(Refurbished) POCO M6 Pro 5G (Power Black, 4GB RAM, 128GB Storage)","8,999","(Refurbished) POCO M6 Pro 5G (Power Black, 4GB RAM, 128GB Storage)",3.0 out of 5 stars,moble
